time,note,bool
 0, 60, 80
 455, 60, 0
 480, 53, 80
 707, 53, 0
 720, 53, 80
 833, 53, 0
 840, 53, 80
 953, 53, 0
 960, 53, 80
 1187, 53, 0
 1200, 56, 80
 1427, 56, 0
 1440, 60, 80
 1667, 60, 0
 1680, 60, 80
 1907, 60, 0
 1920, 60, 80
 2147, 60, 0
 2160, 60, 80
 2387, 60, 0
 2400, 61, 80
 2627, 61, 0
 2640, 58, 80
 2753, 58, 0
 2760, 58, 80
 2873, 58, 0
 2880, 58, 80
 3107, 58, 0
 3120, 61, 80
 3233, 61, 0
 3240, 61, 80
 3353, 61, 0
 3360, 61, 80
 3473, 61, 0
 3480, 65, 80
 3593, 65, 0
 3600, 60, 80
 3827, 60, 0
 3840, 60, 80
 4181, 60, 0
 4200, 60, 80
 4313, 60, 0
 4320, 53, 80
 4547, 53, 0
 4560, 53, 80
 4787, 53, 0
 4800, 53, 80
 5027, 53, 0
 5040, 56, 80
 5267, 56, 0
 5280, 60, 80
 5507, 60, 0
 5520, 60, 80
 5747, 60, 0
 5760, 60, 80
 6101, 60, 0
 6120, 60, 80
 6233, 60, 0
 6240, 60, 80
 6467, 60, 0
 6480, 58, 80
 6707, 58, 0
 6720, 56, 80
 6833, 56, 0
 6840, 56, 80
 6953, 56, 0
 6960, 55, 80
 7187, 55, 0
 7200, 53, 80
 8111, 53, 0
 8160, 65, 80
 8615, 65, 0
 8640, 65, 80
 8981, 65, 0
 9000, 61, 80
 9113, 61, 0
 9120, 63, 80
 9347, 63, 0
 9360, 60, 80
 9587, 60, 0
 9600, 60, 80
 9941, 60, 0
 9960, 60, 80
 10073, 60, 0
 10080, 61, 80
 10307, 61, 0
 10320, 58, 80
 10547, 58, 0
 10560, 58, 80
 10673, 58, 0
 10680, 58, 80
 10793, 58, 0
 10800, 61, 80
 11027, 61, 0
 11040, 65, 80
 11267, 65, 0
 11280, 60, 80
 11507, 60, 0
 11520, 60, 80
 11975, 60, 0
 12000, 65, 80
 12455, 65, 0
 12480, 65, 80
 12821, 65, 0
 12840, 61, 80
 12953, 61, 0
 12960, 63, 80
 13187, 63, 0
 13200, 60, 80
 13427, 60, 0
 13440, 60, 80
 13781, 60, 0
 13800, 60, 80
 13913, 60, 0
 13920, 60, 80
 14147, 60, 0
 14160, 58, 80
 14387, 58, 0
 14400, 56, 80
 14513, 56, 0
 14520, 56, 80
 14633, 56, 0
 14640, 55, 80
 14867, 55, 0
 14880, 53, 80
 15335, 53, 0
